DocTitle,IndexerTime
1588257519.xml,97
1943488629.xml,14
1648036619.xml,19
1115039859.xml,18
2102854429.xml,16
1937753049.xml,16
1462267409.xml,17
639485879.xml,18
1687116109.xml,11
1980016939.xml,10
953410499.xml,10
400547349.xml,9
388357059.xml,11
573592159.xml,70
1816287899.xml,11
153410219.xml,10
1608794059.xml,13
1980048869.xml,9
1985864489.xml,12
885291229.xml,11
308163829.xml,12
995034149.xml,11
853522069.xml,27
329315279.xml,9
521755639.xml,22
425591979.xml,23
1073468059.xml,23
401415929.xml,11
1606641479.xml,16
581991819.xml,12
1673743819.xml,20
1653095109.xml,10
627650669.xml,11
1543751509.xml,11
903310599.xml,14
1029679549.xml,11
1474377649.xml,11
1281753909.xml,11
919823629.xml,16
515643549.xml,11
1599436189.xml,18
1361913599.xml,17
1850150939.xml,8
774371369.xml,12
631668809.xml,12
1647010249.xml,9
1213897189.xml,11
116920319.xml,10
195822299.xml,10
2090533859.xml,14
247514839.xml,6
291347569.xml,13
1612163939.xml,16
1187966059.xml,13
2145801179.xml,7
794324749.xml,17
1132837359.xml,9
834713129.xml,9
1386996129.xml,12
439653859.xml,13
1459854569.xml,11
1732632289.xml,8
1526938439.xml,9
1900599999.xml,8
1980015039.xml,6
424090039.xml,12
1185242839.xml,11
1349001799.xml,19
270232749.xml,11
432623809.xml,12
2039402319.xml,8
1780661659.xml,18
20653059.xml,21
1477343309.xml,11
2051668619.xml,25
1940389199.xml,16
1938151119.xml,12
854630089.xml,11
1465473519.xml,7
530948849.xml,12
1366562809.xml,12
1843220219.xml,9
969585789.xml,9
811901039.xml,15
21279949.xml,13
1855048189.xml,18
1442338369.xml,40
1679135609.xml,18
1265956979.xml,19
1287164889.xml,8
766997159.xml,13
209152569.xml,19
288836019.xml,11
755501239.xml,10
790758009.xml,17
487833369.xml,11
2092104919.xml,11
1469190549.xml,10
1321104209.xml,12
1300275139.xml,16
1980014079.xml,10
610052139.xml,9
1570728609.xml,10
1420561219.xml,11
504471809.xml,11
1999526439.xml,10
186381179.xml,10
1503817919.xml,19
1198079139.xml,11
1548429619.xml,11
1914109359.xml,12
1043632069.xml,12
1935024989.xml,10
918467319.xml,10
952830639.xml,17
1522871849.xml,12
2067719349.xml,18
1978076069.xml,18
686632149.xml,10
954471189.xml,11
1122714889.xml,10
120407119.xml,11
2018995349.xml,12
693319399.xml,17
1895788629.xml,13
267920409.xml,10
166944799.xml,9
245121809.xml,11
612243179.xml,12
493686069.xml,9
2050745879.xml,17
1123400589.xml,12
185571219.xml,9
816246089.xml,9
2130778009.xml,17
