DocTitle,IndexerTime
974173240.xml,6
2050033390.xml,6
52347210.xml,8
1947936720.xml,13
1657892500.xml,8
512845960.xml,6
1938769540.xml,9
987538030.xml,5
9845410.xml,6
584485150.xml,4
1109110970.xml,9
1921564430.xml,6
209491460.xml,11
1914109600.xml,10
1837885530.xml,11
166971910.xml,13
999833560.xml,30
537227620.xml,14
1905862410.xml,12
202153510.xml,7
296319510.xml,8
1183907970.xml,6
1987532760.xml,7
2137892250.xml,7
814366050.xml,7
1187723860.xml,7
1521135060.xml,8
1399675490.xml,8
856076010.xml,17
210609050.xml,7
1293546610.xml,7
1967862710.xml,7
1449342830.xml,8
1980051650.xml,7
419210260.xml,6
107039600.xml,5
328935900.xml,8
1379736940.xml,13
1576107270.xml,7
706133310.xml,7
471515420.xml,6
1330086560.xml,8
1732639730.xml,9
1062948650.xml,7
1530040020.xml,8
2128791390.xml,12
727833750.xml,7
1936761920.xml,9
1724100790.xml,7
502327150.xml,7
861676550.xml,10
822721870.xml,6
2130513940.xml,11
1294237200.xml,7
2137511100.xml,10
330474230.xml,7
1449344930.xml,8
172322540.xml,8
1749726100.xml,8
1732338960.xml,6
204440210.xml,8
826686490.xml,8
1551639370.xml,6
2102223760.xml,8
95138600.xml,8
1292557320.xml,8
480348040.xml,6
1499603750.xml,6
944171410.xml,8
446915890.xml,6
18186100.xml,8
2043895700.xml,14
1635920760.xml,26
1871679560.xml,10
446317510.xml,13
1497771050.xml,11
690552150.xml,15
884039680.xml,14
1441608030.xml,13
405415470.xml,8
1850151060.xml,7
117616510.xml,13
686630920.xml,13
459367970.xml,20
664049760.xml,7
632543090.xml,6
1201114660.xml,6
1668512610.xml,7
1425379100.xml,8
1823298300.xml,7
874014160.xml,8
482054530.xml,7
284610600.xml,6
1980014180.xml,6
937286070.xml,8
169533430.xml,8
1527552640.xml,8
1449534540.xml,7
31249300.xml,8
1430274280.xml,6
1871358000.xml,7
827646880.xml,7
1329393560.xml,7
1732424780.xml,7
570388080.xml,7
702040490.xml,6
1838348200.xml,8
434608030.xml,7
163015060.xml,7
10724870.xml,8
1377642300.xml,5
323521350.xml,7
1885139270.xml,8
1268959780.xml,8
1120109330.xml,8
1265239100.xml,7
523363010.xml,7
997671040.xml,8
1358372210.xml,8
1970144710.xml,7
40819910.xml,11
1184535020.xml,6
2130464940.xml,5
2137475140.xml,6
2098210330.xml,10
1878024910.xml,7
317042670.xml,7
667054500.xml,7
1665446480.xml,7
1121349720.xml,7
1363450960.xml,6
1883844800.xml,8
1293029120.xml,8
1877670380.xml,9
1349821650.xml,7
1937676330.xml,7
1188021770.xml,7
477191610.xml,7
1812412590.xml,9
1618349980.xml,8
464281030.xml,9
1136924920.xml,7
561602420.xml,6
1980045730.xml,7
1154287150.xml,7
1563619820.xml,8
2038626000.xml,5
527769990.xml,7
951953530.xml,7
1932238270.xml,8
1985168450.xml,17
1732338900.xml,11
98543080.xml,8
1634443600.xml,11
552110870.xml,7
1019657180.xml,14
1953415110.xml,8
1964472320.xml,6
768540220.xml,14
1536464270.xml,6
960924700.xml,7
1924839460.xml,8
435951100.xml,7
1467176500.xml,6
422324580.xml,154
33266600.xml,85
984787940.xml,21
1866878860.xml,144
1503201260.xml,11
1980015110.xml,10
368399360.xml,77
2060599640.xml,33
256145390.xml,56
1826786260.xml,31
201065380.xml,12
761476850.xml,18
1765703850.xml,19
67101690.xml,13
1893220060.xml,13
2124492940.xml,8
358995200.xml,14
99173640.xml,18
959796920.xml,13
